candidateId,eligible,trainRank,volatilityLookbackSessions,reversalZThreshold,minVolatilityPct,maxVolatilityPct,trainTrades,trainReturnPct,trainSharpe,trainSortino,trainMaxDrawdownPct,trainProfitFactor,profitableTrainYears,trainYearCount,holdoutTrades,holdoutReturnPct,holdoutSharpe,holdoutSortino,holdoutMaxDrawdownPct,holdoutProfitFactor,allTrades,allReturnPct,allSharpe,allSortino,allMaxDrawdownPct
lb20-z0.35-vol2.5-99,false,107.5699,20,0.35,2.5,99,842,36.6,0.34,0.53,-17.08,1.13,10,17,66,9.73,2.04,3.14,-4.43,1.57,908,49.89,0.4,0.63,-17.08
lb40-z0.5-vol2.5-8,false,107.5053,40,0.5,2.5,8,692,31.77,0.33,0.52,-12.09,1.14,12,17,58,9.65,2.07,3.16,-4.43,1.62,750,44.48,0.4,0.63,-12.09
lb40-z0.5-vol2.5-99,false,107.5053,40,0.5,2.5,99,692,31.77,0.33,0.52,-12.09,1.14,12,17,58,9.65,2.07,3.16,-4.43,1.62,750,44.48,0.4,0.63,-12.09
lb40-z0.5-vol2-8,false,107.4806,40,0.5,2,8,934,29.67,0.29,0.45,-17.93,1.11,13,18,58,9.65,2.07,3.16,-4.43,1.62,992,42.18,0.36,0.55,-17.93
lb40-z0.5-vol2-99,false,107.4806,40,0.5,2,99,934,29.67,0.29,0.45,-17.93,1.11,13,18,58,9.65,2.07,3.16,-4.43,1.62,992,42.18,0.36,0.55,-17.93
lb30-z1-vol1.5-5,false,107.2967,30,1,1.5,5,497,26.03,0.35,0.52,-8.57,1.19,14,18,28,0.43,0.19,0.27,-2.08,1.07,525,26.57,0.33,0.5,-8.57
lb60-z1-vol2-4,false,107.2914,60,1,2,4,362,27.53,0.42,0.61,-6.38,1.28,11,16,25,1,0.57,0.76,-2.08,1.16,387,28.8,0.41,0.6,-6.38
lb20-z0.5-vol3-5,false,106.997,20,0.5,3,5,408,31.33,0.4,0.62,-12.21,1.24,12,16,29,5.09,1.82,2.5,-2.08,1.91,437,38.01,0.45,0.69,-12.21
lb20-z0.35-vol2.5-5,false,106.8846,20,0.35,2.5,5,722,33.37,0.34,0.53,-11.35,1.15,10,17,55,7.5,2.03,3.28,-2.08,1.63,777,43.37,0.4,0.62,-11.35
lb40-z0.5-vol0-6,false,106.8428,40,0.5,0,6,1041,27.77,0.27,0.42,-16.18,1.1,12,18,47,4.21,1.03,1.54,-4.43,1.31,1088,33.14,0.3,0.46,-16.18
lb40-z0.5-vol1-6,false,106.8428,40,0.5,1,6,1041,27.77,0.27,0.42,-16.18,1.1,12,18,47,4.21,1.03,1.54,-4.43,1.31,1088,33.14,0.3,0.46,-16.18
lb40-z0.35-vol1.5-4,false,106.8225,40,0.35,1.5,4,974,29.99,0.31,0.47,-12.6,1.12,9,18,44,6.88,2.93,4.49,-2.41,1.69,1018,38.93,0.37,0.55,-12.6
lb30-z1.5-vol2.5-5,false,106.6586,30,1.5,2.5,5,119,21.99,0.46,0.68,-5.83,1.58,13,16,12,0.3,0.22,0.38,-1.61,1.1,131,22.35,0.44,0.66,-5.83
lb30-z1-vol0-5,false,106.3888,30,1,0,5,510,25.7,0.34,0.51,-9.48,1.19,14,18,28,0.43,0.19,0.27,-2.08,1.07,538,26.24,0.33,0.49,-9.48
lb30-z1-vol1-5,false,106.3888,30,1,1,5,510,25.7,0.34,0.51,-9.48,1.19,14,18,28,0.43,0.19,0.27,-2.08,1.07,538,26.24,0.33,0.49,-9.48
lb40-z0.5-vol1.5-6,false,106.3137,40,0.5,1.5,6,1037,26.91,0.27,0.41,-16.18,1.1,12,18,47,4.21,1.03,1.54,-4.43,1.31,1084,32.25,0.29,0.45,-16.18
lb40-z1-vol2-5,false,106.2079,40,1,2,5,421,27.69,0.37,0.55,-8.13,1.23,13,18,25,1,0.57,0.76,-2.08,1.16,446,28.96,0.37,0.55,-8.13
lb20-z0.5-vol3-6,false,105.9681,20,0.5,3,6,485,30.86,0.36,0.56,-9.36,1.19,12,16,29,5.09,1.82,2.5,-2.08,1.91,514,37.51,0.4,0.62,-9.36
lb30-z0.5-vol1.5-6,false,105.8039,30,0.5,1.5,6,1026,29.64,0.29,0.44,-15.46,1.1,10,18,48,5.73,1.37,2.1,-3.18,1.43,1074,37.07,0.32,0.49,-15.46
lb30-z2-vol2.5-4,false,105.6691,30,2,2.5,4,37,12.09,0.46,0.75,-3.32,2.27,9,12,4,-1.11,-4.22,-3.51,-1.34,0.18,41,10.85,0.39,0.64,-3.32
lb40-z1-vol3-8,false,105.2962,40,1,3,8,259,24.83,0.41,0.69,-6.06,1.3,11,16,18,6.63,3.35,5.34,-2.08,2.55,277,33.1,0.49,0.82,-6.06
lb40-z1-vol3-99,false,105.2962,40,1,3,99,259,24.83,0.41,0.69,-6.06,1.3,11,16,18,6.63,3.35,5.34,-2.08,2.55,277,33.1,0.49,0.82,-6.06
lb40-z0.5-vol3-6,false,105.2736,40,0.5,3,6,541,30.95,0.36,0.59,-10.09,1.17,10,16,28,4.36,1.32,1.94,-4.43,1.48,569,36.66,0.39,0.63,-10.09
lb30-z0.5-vol0-6,false,105.0004,30,0.5,0,6,1046,29.41,0.28,0.43,-16.23,1.1,10,18,48,5.73,1.37,2.1,-3.18,1.43,1094,36.82,0.32,0.49,-16.23
lb30-z0.5-vol1-6,false,105.0004,30,0.5,1,6,1046,29.41,0.28,0.43,-16.23,1.1,10,18,48,5.73,1.37,2.1,-3.18,1.43,1094,36.82,0.32,0.49,-16.23
lb30-z0.35-vol0-5,false,104.992,30,0.35,0,5,1141,29.55,0.28,0.41,-16.18,1.1,9,18,51,7.5,2.13,3.32,-2.08,1.68,1192,39.26,0.33,0.49,-16.18
lb30-z0.35-vol1-5,false,104.992,30,0.35,1,5,1141,29.55,0.28,0.41,-16.18,1.1,9,18,51,7.5,2.13,3.32,-2.08,1.68,1192,39.26,0.33,0.49,-16.18
lb30-z0.35-vol1.5-5,false,104.6511,30,0.35,1.5,5,1120,29.16,0.28,0.41,-15.81,1.1,9,18,51,7.5,2.13,3.32,-2.08,1.68,1171,38.85,0.33,0.49,-15.81
lb60-z1-vol3-4,false,104.0861,60,1,3,4,142,18.5,0.46,0.8,-7.33,1.49,9,13,12,2.49,2.21,2.34,-2.08,1.88,154,21.45,0.48,0.8,-7.33
lb30-z0.5-vol2-5,false,103.8697,30,0.5,2,5,825,27.68,0.29,0.44,-12.25,1.12,11,18,42,4.85,1.5,2.26,-2.08,1.5,867,33.87,0.32,0.49,-12.25
lb20-z1-vol2.5-5,false,103.611,20,1,2.5,5,292,26.8,0.4,0.59,-7.58,1.29,12,17,32,2.2,0.76,1.14,-2.08,1.27,324,29.6,0.4,0.6,-7.58
lb30-z0.35-vol2-5,false,103.4132,30,0.35,2,5,983,30.23,0.29,0.44,-15.62,1.11,9,18,51,7.5,2.13,3.32,-2.08,1.68,1034,40,0.35,0.52,-15.62
lb30-z1-vol1.5-8,false,102.8536,30,1,1.5,8,539,24.37,0.31,0.47,-11.44,1.16,14,18,33,4.61,1.33,2.41,-2.08,1.51,572,30.1,0.35,0.53,-11.44
lb30-z1-vol1.5-99,false,102.8536,30,1,1.5,99,539,24.37,0.31,0.47,-11.44,1.16,14,18,33,4.61,1.33,2.41,-2.08,1.51,572,30.1,0.35,0.53,-11.44
