date,overnightRiskSplit,allYearSplit,currentComponentStrategyId,priorCloseComponentStrategyId,currentSessionSeason,priorCloseSeason,currentThesisKind,priorCloseThesisKind,targetUngPosition,priorCloseUngWeight,preTradeOpenUngWeight,deployedUngWeight,priorCloseOverlayActive,currentSessionOverlayActive,eitherOverlayActive,ungOvernightReturnPct,ungIntradayReturnPct,grossPortfolioCloseToOpenContributionPct,grossPortfolioOpenToCloseContributionPctOnOpenEquity,grossPortfolioInteractionContributionPct,grossPortfolioOpenToCloseContributionPctOnPriorCloseEquity,closeToOpenNetContributionPct,openToCloseNetContributionPct,additiveNetReturnPct,reportedNetReturnPct,reportedNetReconciliationResidualPct,reportedGrossReturnPct,grossAdditiveReturnPct,reportedGrossReconciliationResidualPct,grossUngCloseToOpenContributionPct,grossUngOpenToCloseContributionPctOnOpenEquity,grossUngOpenToCloseInteractionContributionPct,grossUngOpenToCloseContributionPctOnPriorCloseEquity,ungCloseToOpenNetContributionPct,ungOpenToCloseNetContributionPct,ungAdditiveNetContributionPct,grossIndexCloseToOpenContributionPct,grossIndexOpenToCloseContributionPctOnOpenEquity,grossIndexOpenToCloseInteractionContributionPct,grossIndexOpenToCloseContributionPctOnPriorCloseEquity,indexCloseToOpenNetContributionPct,indexOpenToCloseNetContributionPct,indexAdditiveNetContributionPct,openTradingCostPct,gasTradingCostPct,indexTradingCostPct,borrowCostPct,frictionContractId,frictionScenarioId,executionPriceConvention
2021-02-02,train,train,ngas-winter-alpha,ngas-winter-alpha,winter,winter,cold-long,reversion-long,0.5625,0.24444023,0.25310457,0.55125,true,true,true,5.71705591,-4.766265,2.09812184,-2.40398292,-0.05043849,-2.45442141,2.09812184,-2.46721421,-0.36909237,-0.3691,0.00000763,-0.3563,-0.35629957,4.3e-7,1.39747845,-2.62740358,-0.05512613,-2.68252971,1.39747845,-2.69227054,-1.29479209,0.70064339,0.22342066,0.00468764,0.2281083,0.70064339,0.22505633,0.92569972,0.0127928,0.00974083,0.00305197,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-02-03,train,train,ngas-winter-alpha,ngas-winter-alpha,winter,winter,cold-long,cold-long,0.3906,0.53797623,0.53663051,0.382788,true,true,true,-0.19249718,-2.21793197,0.05779182,-1.06213424,-0.00061383,-1.06274807,0.05779182,-1.06921674,-1.01142492,-1.0114,-0.00002492,-1.005,-1.00495625,0.00004375,-0.10355891,-0.84899774,-0.00049065,-0.84948839,-0.10355891,-0.8544142,-0.95797311,0.16135073,-0.2131365,-0.00012318,-0.21325967,0.16135073,-0.21480253,-0.05345181,0.00646867,0.00492581,0.00154286,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-02-04,train,train,ngas-winter-alpha,ngas-winter-alpha,winter,winter,cold-long,cold-long,0.3906,0.37834097,0.3803574,0.3803574,true,true,true,1.18343078,5.65302057,0.64701587,2.6126008,0.01690394,2.62950474,0.64701587,2.62947828,3.27649415,3.2765,-0.00000585,3.2765,3.27652061,0.00002061,0.44774035,2.15016821,0.01391193,2.16408014,0.44774035,2.16408014,2.61182048,0.19927552,0.46243259,0.00299201,0.46542461,0.19927552,0.46539815,0.66467367,0.00002646,0,0.00002646,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-02-05,train,train,ngas-winter-alpha,ngas-winter-alpha,winter,winter,cold-long,cold-long,0.3906,0.39162753,0.39718281,0.382788,true,true,true,2.85977363,-5.56053728,1.42110337,-2.19621974,-0.03121055,-2.22743029,1.42110337,-2.22806136,-0.80695799,-0.807,0.00004201,-0.8063,-0.80632692,-0.00002692,1.11996608,-2.12850694,-0.03024828,-2.15875523,1.11996608,-2.15922241,-1.03925633,0.30113729,-0.0677128,-0.00096227,-0.06867506,0.30113729,-0.06883894,0.23229835,0.00063106,0.00046718,0.00016388,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-02-08,train,train,ngas-winter-alpha,ngas-winter-alpha,winter,winter,cold-long,cold-long,0.3906,0.36962296,0.36971183,0.382788,true,true,true,0.47483563,0.09452012,0.45068438,0.19317491,0.00087061,0.19404552,0.45068438,0.19349737,0.64418175,0.6442,-0.00001825,0.6447,0.6447299,0.0000299,0.17551015,0.03618117,0.00016306,0.03634423,0.17551015,0.03592391,0.21143406,0.27517423,0.15699374,0.00070755,0.15770129,0.27517423,0.15757346,0.43274769,0.00054815,0.00042032,0.00012783,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-02-09,train,train,ngas-winter-alpha,ngas-winter-alpha,winter,winter,cold-long,cold-long,0.3906,0.38241317,0.37682961,0.382788,true,true,true,-2.54957936,-0.0968922,-1.1056376,0.052438,-0.00057977,0.05185823,-1.1056376,0.05161251,-1.05402509,-1.054,-0.00002509,-1.0538,-1.05377937,0.00002063,-0.97499272,-0.03708917,0.00041007,-0.0366791,-0.97499272,-0.03686766,-1.01186038,-0.13064488,0.08952717,-0.00098985,0.08853733,-0.13064488,0.08848017,-0.04216472,0.00024572,0.00018856,0.00005716,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-02-10,train,train,ngas-winter-alpha,ngas-winter-alpha,winter,winter,cold-long,cold-long,0.3906,0.38221763,0.38565765,0.382788,true,true,true,1.93986228,3.23501565,1.03057083,0.90432993,0.00931976,0.91364969,1.03057083,0.91355691,1.94412774,1.9441,0.00002774,1.9442,1.94422052,0.00002052,0.74144956,1.23832517,0.01276182,1.25108699,0.74144956,1.25099421,1.99244377,0.28912127,-0.33399524,-0.00344206,-0.3374373,0.28912127,-0.3374373,-0.04831603,0.00009278,0.00009278,0,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-02-11,train,train,ngas-winter-alpha,ngas-winter-alpha,winter,winter,reversion-short,cold-long,-0.3125,0.39162999,0.39383875,-0.30625,true,true,true,1.29031691,-5.00455143,0.72225159,1.44638966,0.01044657,1.45683623,0.72225159,1.43336633,2.15561792,2.1556,0.00001792,2.1791,2.17908782,-0.00001218,0.5053268,1.53264388,0.01106954,1.54371342,0.5053268,1.52114878,2.02647558,0.21692479,-0.08625422,-0.00062297,-0.08687719,0.21692479,-0.08778245,0.12914235,0.0234699,0.02256464,0.00090526,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-02-12,train,train,ngas-winter-alpha,ngas-winter-alpha,winter,winter,reversion-short,reversion-short,-0.3125,-0.28684155,-0.29226023,-0.30625,true,true,true,1.34099951,0.85066307,-0.53792358,0.25278489,-0.00135979,0.2514251,-0.53792358,0.25091459,-0.28700899,-0.287,-0.00000899,-0.2865,-0.28649848,0.00000152,-0.38465438,-0.26051557,0.00140137,-0.25911419,-0.38465438,-0.25955945,-0.64421383,-0.1532692,0.51330046,-0.00276116,0.51053929,-0.1532692,0.51047404,0.35720484,0.00051051,0.00044526,0.00006525,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-02-16,train,train,ngas-winter-alpha,ngas-winter-alpha,winter,winter,reversion-short,reversion-short,-0.1976,-0.30807796,-0.33121785,-0.193648,true,true,true,5.81068305,-1.68290151,-1.58157289,-0.01833453,0.00028997,-0.01804456,-1.58157289,-0.02334063,-1.60491352,-1.6049,-0.00001352,-1.5996,-1.59961745,-0.00001745,-1.7901434,0.32589051,-0.0051542,0.32073632,-1.7901434,0.31640371,-1.4737397,0.20857051,-0.34422504,0.00544417,-0.33878087,0.20857051,-0.33974434,-0.13117383,0.00529608,0.00433261,0.00096347,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
