candidateId,eligible,trainValidationRank,architectureId,sourceSetId,sourceWeightMode,sizingMode,anomalyThreshold,coverageThreshold,minConfidence,weatherFraction,reversionFraction,followHoldDays,reversionHoldDays,minRealizedMovePct,volTargetPct,signals,scheduledEvents,executedRows,weatherFollowRows,reversionRows,coldLongRows,warmShortRows,reversionLongRows,reversionShortRows,trainValidationColdLongReturnPct,trainValidationWarmShortReturnPct,trainValidationFollowReturnPct,trainValidationReversionLongReturnPct,trainValidationReversionShortReturnPct,trainValidationReversionReturnPct,holdoutFollowReturnPct,holdoutReversionReturnPct,overlayDays,fallbackDays,trainReturnPct,trainIndexReturnPct,trainEdgePct,trainSharpe,trainMaxDrawdownPct,profitableTrainYears,trainYearCount,validationReturnPct,validationIndexReturnPct,validationEdgePct,validationSharpe,validationMaxDrawdownPct,holdoutReturnPct,holdoutIndexReturnPct,holdoutEdgePct,holdoutSharpe,holdoutMaxDrawdownPct,allReturnPct,allIndexReturnPct,allEdgePct,allSharpe,allMaxDrawdownPct
dual-long-history-core-bg-shrink-a5-c0.35-q0.35-wf0.15-rf0.2-fh5-rh1-mv4-vol18-vol-target,false,28.879,dual-weather-follow-and-fade,long-history-core,bg-shrink,vol-target,5,0.35,0.35,0.15,0.2,5,1,4,18,288,476,252,221,31,44,177,11,20,4.96,2.46,7.54,-0.58,-4.1,-4.65,2.59,0.02,252,1110,33.82,33.7,0.12,0.59,-26.63,3,4,27.35,29.08,-1.73,0.94,-19.52,17.83,10.94,6.89,1.88,-8.1,100.8,91.47,9.33,0.81,-26.63
dual-long-history-core-bg-shrink-a5-c0.35-q0.5-wf0.15-rf0.2-fh5-rh1-mv4-vol18-vol-target,false,28.879,dual-weather-follow-and-fade,long-history-core,bg-shrink,vol-target,5,0.35,0.5,0.15,0.2,5,1,4,18,282,466,252,221,31,44,177,11,20,4.96,2.46,7.54,-0.58,-4.1,-4.65,2.59,0.02,252,1110,33.82,33.7,0.12,0.59,-26.63,3,4,27.35,29.08,-1.73,0.94,-19.52,17.83,10.94,6.89,1.88,-8.1,100.8,91.47,9.33,0.81,-26.63
dual-all-source-consensus-equal-a8-c0.35-q0.35-wf0.15-rf0.1-fh5-rh2-mv4-vol18-vol-target,false,28.8764,dual-weather-follow-and-fade,all-source-consensus,equal,vol-target,8,0.35,0.35,0.15,0.1,5,2,4,18,250,417,253,200,53,36,164,20,33,2.33,-0.85,1.46,2.08,-0.21,1.87,-0.25,-0.64,253,1109,34.53,33.7,0.83,0.59,-26.63,3,4,26.61,29.08,-2.47,0.92,-20.15,13.81,10.94,2.87,1.51,-9.26,93.85,91.47,2.38,0.78,-26.63
dual-all-source-consensus-equal-a8-c0.35-q0.5-wf0.15-rf0.1-fh5-rh2-mv4-vol18-vol-target,false,28.8764,dual-weather-follow-and-fade,all-source-consensus,equal,vol-target,8,0.35,0.5,0.15,0.1,5,2,4,18,250,417,253,200,53,36,164,20,33,2.33,-0.85,1.46,2.08,-0.21,1.87,-0.25,-0.64,253,1109,34.53,33.7,0.83,0.59,-26.63,3,4,26.61,29.08,-2.47,0.92,-20.15,13.81,10.94,2.87,1.51,-9.26,93.85,91.47,2.38,0.78,-26.63
dual-long-history-core-equal-a5-c0.35-q0.35-wf0.25-rf0.1-fh3-rh2-mv4-vol24-vol-target,false,28.8622,dual-weather-follow-and-fade,long-history-core,equal,vol-target,5,0.35,0.35,0.25,0.1,3,2,4,24,289,452,246,195,51,41,154,23,28,8.76,3.12,12.16,-0.3,-7.11,-7.38,1.23,-3.16,246,1116,35.04,33.7,1.34,0.6,-26.63,3,4,26.25,29.08,-2.83,0.9,-20.48,12.57,10.94,1.63,1.35,-10.28,91.92,91.47,0.45,0.76,-26.63
dual-long-history-core-bg-shrink-a8-c0.35-q0.35-wf0.25-rf0.1-fh3-rh2-mv4-vol24-vol-target,false,28.8622,dual-weather-follow-and-fade,long-history-core,bg-shrink,vol-target,8,0.35,0.35,0.25,0.1,3,2,4,24,235,368,239,186,53,41,145,24,29,8.76,2.56,11.55,1.69,-7.82,-6.26,1.56,-2.74,239,1123,35.25,33.7,1.55,0.6,-26.63,3,4,26.44,29.08,-2.64,0.91,-20.35,11.98,10.94,1.04,1.29,-10.28,91.49,91.47,0.02,0.76,-26.63
dual-long-history-core-bg-shrink-a8-c0.35-q0.5-wf0.25-rf0.1-fh3-rh2-mv4-vol24-vol-target,false,28.8622,dual-weather-follow-and-fade,long-history-core,bg-shrink,vol-target,8,0.35,0.5,0.25,0.1,3,2,4,24,234,367,239,186,53,41,145,24,29,8.76,2.56,11.55,1.69,-7.82,-6.26,1.56,-2.74,239,1123,35.25,33.7,1.55,0.6,-26.63,3,4,26.44,29.08,-2.64,0.91,-20.35,11.98,10.94,1.04,1.29,-10.28,91.49,91.47,0.02,0.76,-26.63
dual-long-history-core-bg-shrink-a5-c0.35-q0.35-wf0.25-rf0.2-fh3-rh2-mv4-vol0-confidence-scaled,false,28.8447,dual-weather-follow-and-fade,long-history-core,bg-shrink,confidence-scaled,5,0.35,0.35,0.25,0.2,3,2,4,0,288,451,246,194,52,42,152,24,28,8.28,3.01,11.54,-0.03,-5.55,-5.58,4.91,-8.55,246,1116,37.71,33.7,4.01,0.63,-26.63,3,4,25.49,29.08,-3.59,0.83,-20.68,10.16,10.94,-0.78,0.89,-14.79,90.36,91.47,-1.11,0.72,-26.63
dual-all-source-consensus-bg-shrink-a5-c0.35-q0.35-wf0.15-rf0.1-fh5-rh2-mv2-vol24-vol-target,false,28.8436,dual-weather-follow-and-fade,all-source-consensus,bg-shrink,vol-target,5,0.35,0.35,0.15,0.1,5,2,2,24,293,535,254,184,70,35,149,31,39,3.37,3.31,6.79,-0.12,-4.45,-4.56,-2.03,0.38,254,1108,33.81,33.7,0.11,0.58,-26.63,3,4,26.88,29.08,-2.2,0.93,-19.87,12.92,10.94,1.98,1.41,-9.13,91.7,91.47,0.23,0.76,-26.63
dual-all-source-consensus-bg-shrink-a5-c0.35-q0.5-wf0.15-rf0.1-fh5-rh2-mv2-vol24-vol-target,false,28.8436,dual-weather-follow-and-fade,all-source-consensus,bg-shrink,vol-target,5,0.35,0.5,0.15,0.1,5,2,2,24,292,533,254,184,70,35,149,31,39,3.37,3.31,6.79,-0.12,-4.45,-4.56,-2.03,0.38,254,1108,33.81,33.7,0.11,0.58,-26.63,3,4,26.88,29.08,-2.2,0.93,-19.87,12.92,10.94,1.98,1.41,-9.13,91.7,91.47,0.23,0.76,-26.63
