date,weightedAnomalyF,coveragePct,extremeCount,sampledWeight,locationCount,heatingSeason,qualifies,source
2021-01-30,0.84,0.198,1,1.06,18,true,false,NASA POWER actual anomaly basket
2021-01-31,1.72,0.057,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-01,-1.18,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-02,-1.29,0.066,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-03,-0.94,0.066,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-04,1.05,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-05,-0.67,0.151,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-06,-4.62,0.33,3,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-07,-9.56,0.472,6,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-08,-7.91,0.547,2,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-09,-3.31,0.387,2,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-10,-5.26,0.434,3,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-11,-6.36,0.387,3,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-12,-9.27,0.387,5,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-13,-10.11,0.415,6,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-14,-12.92,0.519,9,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-15,-12.93,0.519,8,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-16,-10.83,0.5,9,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-17,-12.39,0.566,9,1.06,18,true,true,NASA POWER actual anomaly basket
2021-02-18,-10.7,0.472,6,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-19,-11.61,0.623,7,1.06,18,true,true,NASA POWER actual anomaly basket
2021-02-20,-12.86,0.84,7,1.06,18,true,true,NASA POWER actual anomaly basket
2021-02-21,-7.9,0.566,1,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-22,-1.62,0.038,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-23,2.89,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-24,6.05,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-25,3.54,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-26,4.83,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-27,9.51,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-02-28,10.59,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-01,1.06,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-02,-3.26,0.217,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-03,4.78,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-04,3.38,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-05,-1.56,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-06,-2.01,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-07,-2.38,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-08,1.23,0.057,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-09,7.75,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-10,10.75,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-11,11.97,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-12,9.77,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-13,4.88,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-14,3.66,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-15,-1.88,0.217,1,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-16,0.94,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-17,3.32,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-18,1.46,0.094,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-19,-4.38,0.132,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-20,-1.42,0.151,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-21,3.5,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-22,6.43,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-23,8.11,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-24,7.99,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-25,8.61,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-26,8.59,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-27,8.48,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-28,3.11,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-29,0.19,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-30,4.29,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-03-31,1.74,0.151,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-04-01,-8.44,0.557,4,1.06,18,false,true,NASA POWER actual anomaly basket
2021-04-02,-10.02,0.66,5,1.06,18,false,true,NASA POWER actual anomaly basket
2021-04-03,-4.15,0.406,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-04,4.87,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-05,9.1,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-06,10.51,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-07,10.46,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-08,7.75,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-09,8.1,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-10,6.63,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-11,3.48,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-12,2.27,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-13,2.32,0.066,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-14,0.48,0.104,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-15,-2.69,0.189,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-16,-4.45,0.094,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-17,-3.88,0.085,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-18,-2.5,0.17,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-19,-3.53,0.104,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-20,-5.91,0.434,3,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-21,-9.11,0.547,6,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-22,-9.53,0.755,1,1.06,18,false,true,NASA POWER actual anomaly basket
2021-04-23,-3.9,0.085,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-24,-1.36,0.066,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-25,-3.01,0.066,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-26,-0.54,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-27,6.26,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-28,8.78,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-29,6.27,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-04-30,0.29,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-01,-0.5,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-02,4.97,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-03,5.84,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-04,3.12,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-05,-1.98,0.113,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-06,-4.63,0.085,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-07,-6.2,0.302,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-08,-6.85,0.396,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-09,-5.82,0.321,1,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-10,-6.6,0.519,1,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-11,-6.72,0.368,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-12,-7.43,0.481,2,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-13,-3.29,0.283,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-14,-1.15,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-15,-0.88,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-16,-0.08,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-17,1.43,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-18,2.88,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-19,5.61,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-20,5.3,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-21,5.69,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-22,7.22,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-23,6.94,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-24,4.35,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-25,5.23,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-26,5.24,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-27,1.49,0.123,1,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-28,-4.8,0.255,3,1.06,18,false,false,NASA POWER actual anomaly basket
2021-05-29,-10.5,0.67,8,1.06,18,false,true,NASA POWER actual anomaly basket
2021-05-30,-11.01,0.821,3,1.06,18,false,true,NASA POWER actual anomaly basket
2021-05-31,-5.86,0.264,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-01,-2.48,0.047,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-02,-1.08,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-03,1.88,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-04,4.09,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-05,6.04,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-06,6.5,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-07,5.62,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-08,5.54,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-09,5.41,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-10,4.03,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-11,2.9,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-12,2.59,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-13,3.25,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-14,2.33,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-15,0.64,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-16,-0.9,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-17,0.51,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-18,1.82,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-19,1.81,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-20,2.27,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-21,-0.24,0.113,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-22,-5.08,0.283,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-23,-4.41,0.189,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-24,-2.04,0.142,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-25,-1.1,0.038,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-26,1.26,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-27,2.61,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-28,3.12,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-29,3.98,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-06-30,3.42,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-01,1,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-02,-3.68,0.057,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-03,-4.79,0.142,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-04,-1.95,0.057,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-05,0.63,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-06,1.6,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-07,0.64,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-08,-2.22,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-09,-2.25,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-10,-1.98,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-11,-1.93,0.038,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-12,-1.31,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-13,-0.97,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-14,0.44,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-15,1.03,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-16,0.4,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-17,-1.09,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-18,-2.48,0.038,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-19,-2.7,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-20,-1.86,0.047,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-21,-2.68,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-22,-2.25,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-23,0.04,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-24,1.44,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-25,2.17,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-26,2.8,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-27,3.03,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-28,2.63,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-29,2.49,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-30,0.41,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-07-31,-1.83,0.057,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-01,-3.72,0.057,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-02,-4.42,0.047,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-03,-4.94,0.179,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-04,-4.07,0.104,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-05,-2.28,0.057,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-06,-0.03,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-07,0.25,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-08,0.75,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-09,1.85,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-10,3.54,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-11,4.52,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-12,4.62,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-13,4.04,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-14,1.75,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-15,-0.73,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-16,-0.88,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-17,0.39,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-18,2.09,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-19,3.87,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-20,3.69,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-21,2.59,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-22,2.14,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-23,4.62,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-24,5.82,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-25,5.59,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-26,4.71,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-27,4.71,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-28,3.44,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-29,3.43,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-30,3.1,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-08-31,2.01,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-01,0.8,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-02,-2.79,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-03,-3.66,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-04,-1.72,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-05,-0.32,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-06,0.58,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-07,1.08,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-08,0.81,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-09,-1.43,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-10,-1.6,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-11,0.74,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-12,2.84,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-13,3.88,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-14,4.45,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-15,3.51,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-16,3.64,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-17,5.26,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-18,5.81,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-19,5.8,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-20,5.06,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-21,2.76,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-22,-0.12,0.085,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-23,-2.34,0.113,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-24,-1.8,0.066,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-25,-1.68,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-26,0.31,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-27,3.13,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-28,4.41,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-29,4.64,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-09-30,4.31,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-01,4.23,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-02,5.03,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-03,6.07,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-04,5.72,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-05,5.07,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-06,6.39,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-07,7.97,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-08,8.37,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-09,7.8,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-10,9.01,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-11,7.84,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-12,7.53,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-13,9.18,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-14,10.08,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-15,8.62,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-16,3.54,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-17,-0.24,0.047,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-18,1.09,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-19,3.34,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-20,6.57,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-21,5,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-22,2.94,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-23,1.61,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-24,4.01,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-25,5.6,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-26,2.33,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-27,2.33,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-28,2.33,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-29,3.03,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-30,2.81,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-10-31,1.59,0,0,1.06,18,false,false,NASA POWER actual anomaly basket
2021-11-01,-1.7,0.085,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-02,-3.41,0.047,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-03,-5.15,0.085,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-04,-5.93,0.377,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-05,-5.67,0.377,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-06,-3.18,0.151,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-07,1.34,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-08,5.41,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-09,6.25,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-10,7.27,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-11,6.78,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-12,4.87,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-13,-1.5,0.085,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-14,-3.56,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-15,-2.48,0.047,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-16,2.84,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-17,8.89,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-18,4.13,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-19,-4.54,0.179,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-20,-2.09,0.047,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-21,2.26,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-22,-2.52,0.142,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-23,-5.4,0.321,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-24,-0.13,0.151,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-25,-0.23,0.066,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-26,-5.68,0.368,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-27,-3.84,0.038,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-28,-2.29,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-29,-3.29,0.113,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-11-30,-0.66,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-12-01,4.5,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-12-02,10.02,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-12-03,6.85,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
2021-12-04,5.2,0,0,1.06,18,true,false,NASA POWER actual anomaly basket
