candidateId,eligible,trainValidationRank,architectureId,sourceSetId,sizingMode,anomalyThreshold,coverageThreshold,minConfidence,weatherFraction,reversionFraction,followHoldDays,reversionHoldDays,minRealizedMovePct,signals,events,overlayDays,fallbackDays,trainReturnPct,trainIndexReturnPct,trainEdgePct,trainSharpe,trainMaxDrawdownPct,profitableTrainYears,trainYearCount,validationReturnPct,validationIndexReturnPct,validationEdgePct,validationSharpe,validationMaxDrawdownPct,holdoutReturnPct,holdoutIndexReturnPct,holdoutEdgePct,holdoutSharpe,holdoutMaxDrawdownPct,allReturnPct,allIndexReturnPct,allEdgePct,allSharpe,allMaxDrawdownPct
fade-only-all-source-consensus-a8-c0.35-q0.5-wf0.25-rf0.2-fh3-rh1-mv4-fixed,true,34.7292,fade-only,all-source-consensus,fixed,8,0.35,0.5,0.25,0.2,3,1,4,251,142,99,1263,36.21,33.7,2.51,0.61,-26.63,3,4,35.45,29.08,6.37,1.14,-21.02,17.35,10.94,6.41,1.84,-7.16,116.52,91.47,25.05,0.88,-26.63
fade-only-all-source-consensus-a8-c0.35-q0.5-wf0.4-rf0.2-fh3-rh1-mv4-fixed,true,34.7292,fade-only,all-source-consensus,fixed,8,0.35,0.5,0.4,0.2,3,1,4,251,142,99,1263,36.21,33.7,2.51,0.61,-26.63,3,4,35.45,29.08,6.37,1.14,-21.02,17.35,10.94,6.41,1.84,-7.16,116.52,91.47,25.05,0.88,-26.63
fade-only-long-history-core-a5-c0.35-q0.35-wf0.25-rf0.2-fh5-rh1-mv4-confidence-scaled,true,34.443,fade-only,long-history-core,confidence-scaled,5,0.35,0.35,0.25,0.2,5,1,4,288,190,128,1234,29.13,33.7,-4.57,0.52,-26.63,3,4,37.8,29.08,8.72,1.21,-19.74,17.35,10.94,6.41,1.62,-8.07,108.8,91.47,17.33,0.84,-26.63
fade-only-long-history-core-a5-c0.35-q0.35-wf0.4-rf0.2-fh5-rh1-mv4-confidence-scaled,true,34.443,fade-only,long-history-core,confidence-scaled,5,0.35,0.35,0.4,0.2,5,1,4,288,190,128,1234,29.13,33.7,-4.57,0.52,-26.63,3,4,37.8,29.08,8.72,1.21,-19.74,17.35,10.94,6.41,1.62,-8.07,108.8,91.47,17.33,0.84,-26.63
fade-only-all-source-consensus-a8-c0.5-q0.35-wf0.25-rf0.2-fh3-rh1-mv4-confidence-scaled,true,34.0578,fade-only,all-source-consensus,confidence-scaled,8,0.5,0.35,0.25,0.2,3,1,4,231,131,98,1264,36.21,33.7,2.51,0.61,-26.63,3,4,35.5,29.08,6.42,1.14,-21.02,18.42,10.94,7.48,1.94,-7.16,118.58,91.47,27.11,0.89,-26.63
fade-only-all-source-consensus-a8-c0.5-q0.35-wf0.4-rf0.2-fh3-rh1-mv4-confidence-scaled,true,34.0578,fade-only,all-source-consensus,confidence-scaled,8,0.5,0.35,0.4,0.2,3,1,4,231,131,98,1264,36.21,33.7,2.51,0.61,-26.63,3,4,35.5,29.08,6.42,1.14,-21.02,18.42,10.94,7.48,1.94,-7.16,118.58,91.47,27.11,0.89,-26.63
fade-only-all-source-consensus-a8-c0.5-q0.5-wf0.25-rf0.2-fh3-rh1-mv4-confidence-scaled,true,34.0578,fade-only,all-source-consensus,confidence-scaled,8,0.5,0.5,0.25,0.2,3,1,4,231,131,98,1264,36.21,33.7,2.51,0.61,-26.63,3,4,35.5,29.08,6.42,1.14,-21.02,18.42,10.94,7.48,1.94,-7.16,118.58,91.47,27.11,0.89,-26.63
fade-only-all-source-consensus-a8-c0.5-q0.5-wf0.4-rf0.2-fh3-rh1-mv4-confidence-scaled,true,34.0578,fade-only,all-source-consensus,confidence-scaled,8,0.5,0.5,0.4,0.2,3,1,4,231,131,98,1264,36.21,33.7,2.51,0.61,-26.63,3,4,35.5,29.08,6.42,1.14,-21.02,18.42,10.94,7.48,1.94,-7.16,118.58,91.47,27.11,0.89,-26.63
fade-only-all-source-consensus-a8-c0.5-q0.35-wf0.25-rf0.2-fh3-rh1-mv4-fixed,true,33.9903,fade-only,all-source-consensus,fixed,8,0.5,0.35,0.25,0.2,3,1,4,231,131,98,1264,36.21,33.7,2.51,0.61,-26.63,3,4,35.45,29.08,6.37,1.14,-21.02,18.42,10.94,7.48,1.94,-7.16,118.49,91.47,27.02,0.89,-26.63
fade-only-all-source-consensus-a8-c0.5-q0.35-wf0.4-rf0.2-fh3-rh1-mv4-fixed,true,33.9903,fade-only,all-source-consensus,fixed,8,0.5,0.35,0.4,0.2,3,1,4,231,131,98,1264,36.21,33.7,2.51,0.61,-26.63,3,4,35.45,29.08,6.37,1.14,-21.02,18.42,10.94,7.48,1.94,-7.16,118.49,91.47,27.02,0.89,-26.63
fade-only-all-source-consensus-a8-c0.5-q0.5-wf0.25-rf0.2-fh3-rh1-mv4-fixed,true,33.9903,fade-only,all-source-consensus,fixed,8,0.5,0.5,0.25,0.2,3,1,4,231,131,98,1264,36.21,33.7,2.51,0.61,-26.63,3,4,35.45,29.08,6.37,1.14,-21.02,18.42,10.94,7.48,1.94,-7.16,118.49,91.47,27.02,0.89,-26.63
fade-only-all-source-consensus-a8-c0.5-q0.5-wf0.4-rf0.2-fh3-rh1-mv4-fixed,true,33.9903,fade-only,all-source-consensus,fixed,8,0.5,0.5,0.4,0.2,3,1,4,231,131,98,1264,36.21,33.7,2.51,0.61,-26.63,3,4,35.45,29.08,6.37,1.14,-21.02,18.42,10.94,7.48,1.94,-7.16,118.49,91.47,27.02,0.89,-26.63
