windowSet,eventId,windowId,windowStartDate,windowEndDate,eventStartDate,eventEndDate,eventPeakDate,minWeightedAnomalyF,maxCoveragePct,qualifyingDays,symbol,priorTradeDate,firstTradeDate,lastTradeDate,tradingDays,priorClose,firstClose,lastClose,returnPctPrevCloseToEnd,returnPctFirstCloseToEnd,tradeQuestion
heating-season-events,actual-heating-cold-3,selloff,2022-01-26,2022-01-28,2022-01-29,2022-01-29,2022-01-29,-8.31,0.755,1,NG=F,2022-01-25,2022-01-26,2022-01-28,3,4.053,4.277,4.639,14.458,8.464,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-3,event,2022-01-29,2022-01-29,2022-01-29,2022-01-29,2022-01-29,-8.31,0.755,1,UNG,2022-01-28,2022-01-31,2022-01-28,0,65.080002,68.040001,65.080002,0,-4.35,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-3,event,2022-01-29,2022-01-29,2022-01-29,2022-01-29,2022-01-29,-8.31,0.755,1,NG=F,2022-01-28,2022-01-31,2022-01-28,0,4.639,4.874,4.639,0,-4.822,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-4,rumor,2022-03-02,2022-03-05,2022-03-12,2022-03-12,2022-03-12,-12.34,0.679,1,UNG,2022-03-01,2022-03-02,2022-03-04,3,64.440002,68.080002,69.360001,7.635,1.88,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-4,rumor,2022-03-02,2022-03-05,2022-03-12,2022-03-12,2022-03-12,-12.34,0.679,1,NG=F,2022-03-01,2022-03-02,2022-03-04,3,4.573,4.762,5.016,9.687,5.334,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-4,selloff,2022-03-09,2022-03-11,2022-03-12,2022-03-12,2022-03-12,-12.34,0.679,1,UNG,2022-03-08,2022-03-09,2022-03-11,3,64.279999,63.639999,67.160004,4.48,5.531,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-4,selloff,2022-03-09,2022-03-11,2022-03-12,2022-03-12,2022-03-12,-12.34,0.679,1,NG=F,2022-03-08,2022-03-09,2022-03-11,3,4.527,4.526,4.725,4.374,4.397,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-4,event,2022-03-12,2022-03-12,2022-03-12,2022-03-12,2022-03-12,-12.34,0.679,1,UNG,2022-03-11,2022-03-14,2022-03-11,0,67.160004,65.879997,67.160004,0,1.943,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-4,event,2022-03-12,2022-03-12,2022-03-12,2022-03-12,2022-03-12,-12.34,0.679,1,NG=F,2022-03-11,2022-03-14,2022-03-11,0,4.725,4.658,4.725,0,1.438,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-5,rumor,2022-03-17,2022-03-20,2022-03-27,2022-03-28,2022-03-28,-10.5,0.764,2,UNG,2022-03-16,2022-03-17,2022-03-18,2,66.760002,69.480003,68.879997,3.176,-0.864,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-5,rumor,2022-03-17,2022-03-20,2022-03-27,2022-03-28,2022-03-28,-10.5,0.764,2,NG=F,2022-03-16,2022-03-17,2022-03-18,2,4.748,4.99,4.863,2.422,-2.545,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-5,selloff,2022-03-24,2022-03-26,2022-03-27,2022-03-28,2022-03-28,-10.5,0.764,2,UNG,2022-03-23,2022-03-24,2022-03-25,2,72.120003,75.879997,77.959999,8.098,2.741,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-5,selloff,2022-03-24,2022-03-26,2022-03-27,2022-03-28,2022-03-28,-10.5,0.764,2,NG=F,2022-03-23,2022-03-24,2022-03-25,2,5.232,5.401,5.571,6.479,3.148,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-5,event,2022-03-27,2022-03-28,2022-03-27,2022-03-28,2022-03-28,-10.5,0.764,2,UNG,2022-03-25,2022-03-28,2022-03-28,1,77.959999,76.879997,76.879997,-1.385,0,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-5,event,2022-03-27,2022-03-28,2022-03-27,2022-03-28,2022-03-28,-10.5,0.764,2,NG=F,2022-03-25,2022-03-28,2022-03-28,1,5.571,5.508,5.508,-1.131,0,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-6,rumor,2022-11-08,2022-11-11,2022-11-18,2022-11-20,2022-11-20,-12.23,0.887,3,UNG,2022-11-07,2022-11-08,2022-11-11,4,86.800003,80.800003,76.639999,-11.705,-5.149,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-6,rumor,2022-11-08,2022-11-11,2022-11-18,2022-11-20,2022-11-20,-12.23,0.887,3,NG=F,2022-11-07,2022-11-08,2022-11-11,4,6.944,6.138,5.879,-15.337,-4.22,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-6,selloff,2022-11-15,2022-11-17,2022-11-18,2022-11-20,2022-11-20,-12.23,0.887,3,UNG,2022-11-14,2022-11-15,2022-11-17,3,78.080002,79.080002,82.400002,5.533,4.198,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-6,selloff,2022-11-15,2022-11-17,2022-11-18,2022-11-20,2022-11-20,-12.23,0.887,3,NG=F,2022-11-14,2022-11-15,2022-11-17,3,5.933,6.034,6.369,7.349,5.552,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-6,event,2022-11-18,2022-11-20,2022-11-18,2022-11-20,2022-11-20,-12.23,0.887,3,UNG,2022-11-17,2022-11-18,2022-11-18,1,82.400002,82.239998,82.239998,-0.194,0,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-6,event,2022-11-18,2022-11-20,2022-11-18,2022-11-20,2022-11-20,-12.23,0.887,3,NG=F,2022-11-17,2022-11-18,2022-11-18,1,6.369,6.303,6.303,-1.036,0,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-7,rumor,2022-12-13,2022-12-16,2022-12-23,2022-12-26,2022-12-24,-20.06,1,4,UNG,2022-12-12,2022-12-13,2022-12-16,4,79.639999,85.080002,80.400002,0.954,-5.501,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-7,rumor,2022-12-13,2022-12-16,2022-12-23,2022-12-26,2022-12-24,-20.06,1,4,NG=F,2022-12-12,2022-12-13,2022-12-16,4,6.587,6.935,6.6,0.197,-4.831,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-7,selloff,2022-12-20,2022-12-22,2022-12-23,2022-12-26,2022-12-24,-20.06,1,4,UNG,2022-12-19,2022-12-20,2022-12-22,3,72,66.440002,63.240002,-12.167,-4.816,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-7,selloff,2022-12-20,2022-12-22,2022-12-23,2022-12-26,2022-12-24,-20.06,1,4,NG=F,2022-12-19,2022-12-20,2022-12-22,3,5.851,5.326,4.999,-14.562,-6.14,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-7,event,2022-12-23,2022-12-26,2022-12-23,2022-12-26,2022-12-24,-20.06,1,4,UNG,2022-12-22,2022-12-23,2022-12-23,1,63.240002,63.639999,63.639999,0.633,0,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-7,event,2022-12-23,2022-12-26,2022-12-23,2022-12-26,2022-12-24,-20.06,1,4,NG=F,2022-12-22,2022-12-23,2022-12-23,1,4.999,5.079,5.079,1.6,0,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-8,rumor,2023-01-24,2023-01-27,2023-02-03,2023-02-03,2023-02-03,-10.82,0.726,1,UNG,2023-01-23,2023-01-24,2023-01-27,4,44.040001,41.959999,39.240002,-10.899,-6.482,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-8,rumor,2023-01-24,2023-01-27,2023-02-03,2023-02-03,2023-02-03,-10.82,0.726,1,NG=F,2023-01-23,2023-01-24,2023-01-27,4,3.447,3.258,3.109,-9.806,-4.573,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-8,selloff,2023-01-31,2023-02-02,2023-02-03,2023-02-03,2023-02-03,-10.82,0.726,1,UNG,2023-01-30,2023-01-31,2023-02-02,3,36.48,37.279999,33.52,-8.114,-10.086,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-8,selloff,2023-01-31,2023-02-02,2023-02-03,2023-02-03,2023-02-03,-10.82,0.726,1,NG=F,2023-01-30,2023-01-31,2023-02-02,3,2.677,2.684,2.456,-8.256,-8.495,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-8,event,2023-02-03,2023-02-03,2023-02-03,2023-02-03,2023-02-03,-10.82,0.726,1,UNG,2023-02-02,2023-02-03,2023-02-03,1,33.52,32.759998,32.759998,-2.267,0,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-8,event,2023-02-03,2023-02-03,2023-02-03,2023-02-03,2023-02-03,-10.82,0.726,1,NG=F,2023-02-02,2023-02-03,2023-02-03,1,2.456,2.41,2.41,-1.873,0,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-9,rumor,2023-03-08,2023-03-11,2023-03-18,2023-03-19,2023-03-19,-11.59,0.651,2,UNG,2023-03-07,2023-03-08,2023-03-10,3,35.080002,34.32,32.16,-8.324,-6.294,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-9,rumor,2023-03-08,2023-03-11,2023-03-18,2023-03-19,2023-03-19,-11.59,0.651,2,NG=F,2023-03-07,2023-03-08,2023-03-10,3,2.687,2.551,2.43,-9.565,-4.743,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-9,selloff,2023-03-15,2023-03-17,2023-03-18,2023-03-19,2023-03-19,-11.59,0.651,2,UNG,2023-03-14,2023-03-15,2023-03-17,3,34.279999,32.400002,31.200001,-8.985,-3.704,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-9,selloff,2023-03-15,2023-03-17,2023-03-18,2023-03-19,2023-03-19,-11.59,0.651,2,NG=F,2023-03-14,2023-03-15,2023-03-17,3,2.573,2.439,2.338,-9.133,-4.141,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
