date,symbol,weightedAnomalyF,coveragePct,extremeCount,sampledWeight,locationCount,heatingSeason,qualifies,open,close,volume,storageBcf,dailyReturnPct
2025-05-14,UNG,7.32,0,0,1.06,18,false,false,17.639999,17.4,5132700,2255,-4.343
2025-05-14,NG=F,7.32,0,0,1.06,18,false,false,3.622,3.492,119947,2255,-4.25
2025-05-15,UNG,7.8,0,0,1.06,18,false,false,17.389999,16.799999,6212200,2255,-3.448
2025-05-15,NG=F,7.8,0,0,1.06,18,false,false,3.467,3.362,152653,2255,-3.723
2025-05-16,UNG,7.77,0,0,1.06,18,false,false,17.040001,16.709999,4364100,2375,-0.536
2025-05-16,NG=F,7.77,0,0,1.06,18,false,false,3.372,3.334,141334,2375,-0.833
2025-05-19,UNG,0.9,0.066,0,1.06,18,false,false,16.02,15.65,8609600,2375,-6.344
2025-05-19,NG=F,0.9,0.066,0,1.06,18,false,false,3.269,3.113,182905,2375,-6.629
2025-05-20,UNG,-0.56,0.123,1,1.06,18,false,false,16.32,16.99,7823000,2375,8.562
2025-05-20,NG=F,-0.56,0.123,1,1.06,18,false,false,3.107,3.427,230771,2375,10.087
2025-05-21,UNG,-3.01,0.123,0,1.06,18,false,false,17.040001,16.92,6372500,2375,-0.412
2025-05-21,NG=F,-3.01,0.123,0,1.06,18,false,false,3.415,3.368,135733,2375,-1.722
2025-05-22,UNG,-4.61,0.208,0,1.06,18,false,false,16.629999,16.65,5650100,2375,-1.596
2025-05-22,NG=F,-4.61,0.208,0,1.06,18,false,false,3.356,3.253,91988,2375,-3.414
2025-05-23,UNG,-5.77,0.292,0,1.06,18,false,false,16.700001,16.83,6403900,2476,1.081
2025-05-23,NG=F,-5.77,0.292,0,1.06,18,false,false,3.283,3.334,60597,2476,2.49
2025-05-27,UNG,-3.26,0.085,0,1.06,18,false,false,16.66,17.07,6089700,2476,1.426
2025-05-27,NG=F,-3.26,0.085,0,1.06,18,false,false,3.376,3.398,55895,2476,1.92
2025-05-28,UNG,-4.18,0.123,0,1.06,18,false,false,16.83,16.15,8838600,2476,-5.39
2025-05-28,NG=F,-4.18,0.123,0,1.06,18,false,false,3.405,3.204,204259,2476,-5.709
2025-05-29,UNG,-2.43,0,0,1.06,18,false,false,16.139999,15.99,8699000,2476,-0.991
2025-05-29,NG=F,-2.43,0,0,1.06,18,false,false,3.535,3.522,180662,2476,9.925
2025-05-30,UNG,-2.4,0,0,1.06,18,false,false,16.040001,15.71,6572800,2598,-1.751
2025-05-30,NG=F,-2.4,0,0,1.06,18,false,false,3.535,3.447,131545,2598,-2.129
2025-06-02,UNG,-0.67,0,0,1.06,18,false,false,16.870001,16.870001,7573800,2598,7.384
2025-06-02,NG=F,-0.67,0,0,1.06,18,false,false,3.501,3.694,199977,2598,7.166
2025-06-03,UNG,1.81,0,0,1.06,18,false,false,16.559999,16.959999,6070900,2598,0.533
2025-06-03,NG=F,1.81,0,0,1.06,18,false,false,3.748,3.722,139410,2598,0.758
2025-06-04,UNG,2.11,0,0,1.06,18,false,false,16.690001,16.91,3854900,2598,-0.295
2025-06-04,NG=F,2.11,0,0,1.06,18,false,false,3.729,3.716,126093,2598,-0.161
2025-06-05,UNG,2.33,0,0,1.06,18,false,false,16.99,16.700001,6843200,2598,-1.242
2025-06-05,NG=F,2.33,0,0,1.06,18,false,false,3.703,3.677,208764,2598,-1.05
2025-06-06,UNG,3.33,0,0,1.06,18,false,false,16.84,17.18,5596600,2707,2.874
2025-06-06,NG=F,3.33,0,0,1.06,18,false,false,3.653,3.784,180631,2707,2.91
2025-06-09,UNG,-1.58,0.066,0,1.06,18,false,false,16.440001,16.559999,7169100,2707,-3.609
2025-06-09,NG=F,-1.58,0.066,0,1.06,18,false,false,3.719,3.635,215678,2707,-3.938
2025-06-10,UNG,-1.41,0,0,1.06,18,false,false,16.41,16.059999,5250300,2707,-3.019
2025-06-10,NG=F,-1.41,0,0,1.06,18,false,false,3.612,3.533,179312,2707,-2.806
2025-06-11,UNG,0.85,0,0,1.06,18,false,false,16.34,15.95,7700500,2707,-0.685
2025-06-11,NG=F,0.85,0,0,1.06,18,false,false,3.526,3.507,211742,2707,-0.736
2025-06-12,UNG,0.91,0,0,1.06,18,false,false,16.42,16.07,6750300,2707,0.752
2025-06-12,NG=F,0.91,0,0,1.06,18,false,false,3.519,3.492,220853,2707,-0.428
2025-06-13,UNG,-0.37,0.066,0,1.06,18,false,false,16.040001,16.360001,5568700,2802,1.805
2025-06-13,NG=F,-0.37,0.066,0,1.06,18,false,false,3.541,3.581,133290,2802,2.549
2025-06-16,UNG,0.07,0,0,1.06,18,false,false,16.799999,16.98,5656000,2802,3.79
2025-06-16,NG=F,0.07,0,0,1.06,18,false,false,3.704,3.748,171746,2802,4.663
2025-06-17,UNG,1.18,0,0,1.06,18,false,false,17.370001,17.58,5443000,2802,3.534
2025-06-17,NG=F,1.18,0,0,1.06,18,false,false,3.746,3.851,163883,2802,2.748
2025-06-18,UNG,1.95,0,0,1.06,18,false,false,17.959999,18.08,6006700,2802,2.844
2025-06-18,NG=F,1.95,0,0,1.06,18,false,false,3.862,3.989,0,2802,3.583
2025-06-20,UNG,2.3,0,0,1.06,18,false,false,18.07,17.66,6748700,2898,-2.323
2025-06-20,NG=F,2.3,0,0,1.06,18,false,false,3.985,3.847,194501,2898,-3.56
2025-06-23,UNG,8.03,0,0,1.06,18,false,false,17.049999,16.84,7132700,2898,-4.643
2025-06-23,NG=F,8.03,0,0,1.06,18,false,false,3.949,3.698,102698,2898,-3.873
2025-06-24,UNG,8.03,0,0,1.06,18,false,false,16.459999,16.25,5854100,2898,-3.504
2025-06-24,NG=F,8.03,0,0,1.06,18,false,false,3.681,3.537,70983,2898,-4.354
2025-06-25,UNG,6.14,0,0,1.06,18,false,false,16.059999,15.85,7409400,2898,-2.462
2025-06-25,NG=F,6.14,0,0,1.06,18,false,false,3.549,3.406,74500,2898,-3.704
2025-06-26,UNG,3.88,0,0,1.06,18,false,false,15.65,15.66,10473200,2898,-1.199
2025-06-26,NG=F,3.88,0,0,1.06,18,false,false,3.394,3.261,230496,2898,-4.257
2025-06-27,UNG,1.53,0,0,1.06,18,false,false,16.059999,16.540001,6858600,2953,5.619
2025-06-27,NG=F,1.53,0,0,1.06,18,false,false,3.53,3.739,153056,2953,14.658
2025-06-30,UNG,3.58,0,0,1.06,18,false,false,15.61,15.28,10495700,2953,-7.618
2025-06-30,NG=F,3.58,0,0,1.06,18,false,false,3.735,3.456,212922,2953,-7.569
2025-07-01,UNG,2.94,0,0,1.06,18,false,false,14.95,15.11,7679900,2953,-1.113
2025-07-01,NG=F,2.94,0,0,1.06,18,false,false,3.453,3.415,177010,2953,-1.186
2025-07-02,UNG,2.78,0,0,1.06,18,false,false,15.34,15.42,4987000,2953,2.052
2025-07-02,NG=F,2.78,0,0,1.06,18,false,false,3.417,3.488,115605,2953,2.138
2025-07-03,UNG,3.35,0,0,1.06,18,false,false,15.59,15.25,5903200,2953,-1.102
2025-07-03,NG=F,3.35,0,0,1.06,18,false,false,3.5,3.409,0,2953,-2.265
2025-07-04,NG=F,2.63,0,0,1.06,18,false,false,3.403,3.387,0,3006,-0.645
2025-07-07,UNG,2.06,0,0,1.06,18,false,false,14.94,15.11,5914200,3006,-0.918
2025-07-07,NG=F,2.06,0,0,1.06,18,false,false,3.344,3.412,163396,3006,0.738
2025-07-08,UNG,2.8,0,0,1.06,18,false,false,14.86,14.83,5132000,3006,-1.853
2025-07-08,NG=F,2.8,0,0,1.06,18,false,false,3.406,3.34,130237,3006,-2.11
2025-07-09,UNG,1.46,0,0,1.06,18,false,false,14.27,14.2,10515100,3006,-4.248
2025-07-09,NG=F,1.46,0,0,1.06,18,false,false,3.348,3.214,217203,3006,-3.772
2025-07-10,UNG,0.73,0,0,1.06,18,false,false,14.58,14.75,6976600,3006,3.873
2025-07-10,NG=F,0.73,0,0,1.06,18,false,false,3.208,3.337,163043,3006,3.827
2025-07-11,UNG,2.76,0,0,1.06,18,false,false,14.99,14.92,4630900,3052,1.153
2025-07-11,NG=F,2.76,0,0,1.06,18,false,false,3.365,3.314,130290,3052,-0.689
2025-07-14,UNG,2.7,0,0,1.06,18,false,false,15.26,15.29,4755800,3052,2.48
2025-07-14,NG=F,2.7,0,0,1.06,18,false,false,3.404,3.466,149455,3052,4.587
2025-07-15,UNG,3.25,0,0,1.06,18,false,false,15.35,15.54,5882200,3052,1.635
2025-07-15,NG=F,3.25,0,0,1.06,18,false,false,3.447,3.523,132955,3052,1.645
2025-07-16,UNG,2.46,0.066,0,1.06,18,false,false,15.83,15.8,4815500,3052,1.673
2025-07-16,NG=F,2.46,0.066,0,1.06,18,false,false,3.519,3.551,116044,3052,0.795
2025-07-17,UNG,0.79,0.066,0,1.06,18,false,false,15.96,15.7,9792500,3052,-0.633
2025-07-17,NG=F,0.79,0.066,0,1.06,18,false,false,3.557,3.542,108569,3052,-0.253
2025-07-18,UNG,-0.79,0,0,1.06,18,false,false,15.94,15.85,5907600,3075,0.955
2025-07-18,NG=F,-0.79,0,0,1.06,18,false,false,3.519,3.565,123961,3075,0.649
2025-07-21,UNG,0.23,0,0,1.06,18,false,false,15,14.68,9926200,3075,-7.382
2025-07-21,NG=F,0.23,0,0,1.06,18,false,false,3.464,3.325,176972,3075,-6.732
2025-07-22,UNG,0.18,0,0,1.06,18,false,false,14.39,14.47,14426000,3075,-1.431
2025-07-22,NG=F,0.18,0,0,1.06,18,false,false,3.317,3.252,124612,3075,-2.195
2025-07-23,UNG,2.24,0,0,1.06,18,false,false,13.99,13.71,16970800,3075,-5.252
2025-07-23,NG=F,2.24,0,0,1.06,18,false,false,3.253,3.077,158442,3075,-5.381
2025-07-24,UNG,4.06,0,0,1.06,18,false,false,14,13.86,19512100,3075,1.094
2025-07-24,NG=F,4.06,0,0,1.06,18,false,false,3.07,3.094,75361,3075,0.552
2025-07-25,UNG,4.51,0,0,1.06,18,false,false,13.89,13.83,11393900,3123,-0.216
2025-07-25,NG=F,4.51,0,0,1.06,18,false,false,3.11,3.11,39115,3123,0.517
2025-07-28,UNG,6.29,0,0,1.06,18,false,false,13.87,13.67,13369500,3123,-1.157
2025-07-28,NG=F,6.29,0,0,1.06,18,false,false,3.093,2.988,69852,3123,-3.923
2025-07-29,UNG,7.2,0,0,1.06,18,false,false,13.83,13.91,6434300,3123,1.756
2025-07-29,NG=F,7.2,0,0,1.06,18,false,false,3.034,3.081,117204,3123,3.112
2025-07-30,UNG,5.76,0,0,1.06,18,false,false,13.35,13.35,9391300,3123,-4.026
2025-07-30,NG=F,5.76,0,0,1.06,18,false,false,3.164,3.045,126252,3123,-1.168
2025-07-31,UNG,1.35,0,0,1.06,18,false,false,13.19,13.59,9965300,3123,1.798
2025-07-31,NG=F,1.35,0,0,1.06,18,false,false,3.026,3.106,168396,3123,2.003
2025-08-01,UNG,-3.47,0.038,0,1.06,18,false,false,13.58,13.62,4111500,3130,0.221
2025-08-01,NG=F,-3.47,0.038,0,1.06,18,false,false,3.1,3.083,102378,3130,-0.741
2025-08-04,UNG,-3.13,0.113,0,1.06,18,false,false,13.24,12.96,11741000,3130,-4.846
2025-08-04,NG=F,-3.13,0.113,0,1.06,18,false,false,3.065,2.932,167435,3130,-4.898
2025-08-05,UNG,-1.79,0.151,0,1.06,18,false,false,13.08,13.19,6377600,3130,1.775
2025-08-05,NG=F,-1.79,0.151,0,1.06,18,false,false,2.946,3.01,134125,3130,2.66
2025-08-06,UNG,-0.45,0.085,0,1.06,18,false,false,13.42,13.54,5812400,3130,2.654
2025-08-06,NG=F,-0.45,0.085,0,1.06,18,false,false,3.015,3.077,133710,3130,2.226
2025-08-07,UNG,0.63,0.085,0,1.06,18,false,false,13.48,13.53,6555300,3130,-0.074
2025-08-07,NG=F,0.63,0.085,0,1.06,18,false,false,3.099,3.067,171662,3130,-0.325
2025-08-08,UNG,0.73,0,0,1.06,18,false,false,13.38,13.2,5272600,3186,-2.439
2025-08-08,NG=F,0.73,0,0,1.06,18,false,false,3.086,2.99,164260,3186,-2.511
2025-08-11,UNG,2.54,0,0,1.06,18,false,false,13.15,13.07,5634600,3186,-0.985
2025-08-11,NG=F,2.54,0,0,1.06,18,false,false,2.895,2.954,156872,3186,-1.204
2025-08-12,UNG,3.47,0,0,1.06,18,false,false,12.64,12.28,15996000,3186,-6.044
2025-08-12,NG=F,3.47,0,0,1.06,18,false,false,2.978,2.808,219061,3186,-4.942
2025-08-13,UNG,3.14,0,0,1.06,18,false,false,12.45,12.4,10040600,3186,0.977
2025-08-13,NG=F,3.14,0,0,1.06,18,false,false,2.784,2.828,179251,3186,0.712
2025-08-14,UNG,4.15,0,0,1.06,18,false,false,12.36,12.51,9931100,3186,0.887
2025-08-14,NG=F,4.15,0,0,1.06,18,false,false,2.818,2.841,138654,3186,0.46
2025-08-15,UNG,5.23,0,0,1.06,18,false,false,12.85,12.83,6292600,3199,2.558
2025-08-15,NG=F,5.23,0,0,1.06,18,false,false,2.85,2.916,132775,3199,2.64
2025-08-18,UNG,2.21,0,0,1.06,18,false,false,12.59,12.72,6028500,3199,-0.857
2025-08-18,NG=F,2.21,0,0,1.06,18,false,false,2.877,2.89,143784,3199,-0.892
2025-08-19,UNG,2.34,0,0,1.06,18,false,false,12.28,12.16,12848700,3199,-4.403
2025-08-19,NG=F,2.34,0,0,1.06,18,false,false,2.905,2.766,171271,3199,-4.291
2025-08-20,UNG,0.63,0,0,1.06,18,false,false,12.15,12.13,7808300,3199,-0.247
