date,open,high,low,close,volume,contract,storageBcf
2001-09-21,80.05000305175781,85,79.5,48.24060821533203,12533400,DIA,0
2001-09-24,85.45999908447266,86.69000244140625,84.5,50.2215461730957,7953200,DIA,0
2001-09-25,86.25,87.19999694824219,85.05000305175781,50.62932205200195,7317500,DIA,0
2001-09-26,87.38999938964844,87.5,85.30000305175781,50.134159088134766,3981600,DIA,0
2001-09-27,86,86.98999786376953,84.80000305175781,50.54197311401367,4621500,DIA,0
2001-09-28,87.25,88.73999786376953,87.05000305175781,51.47416687011719,8187100,DIA,0
2001-10-01,87.8499984741211,88.69999694824219,87.3499984741211,51.666465759277344,5514500,DIA,0
2001-10-02,88.31999969482422,89.69999694824219,88.04000091552734,52.260711669921875,4845300,DIA,0
2001-10-03,88.75,91.6500015258789,88.6500015258789,53.13462829589844,7744300,DIA,0
2001-10-04,91.9000015258789,91.9800033569336,90.4000015258789,52.959861755371094,8186900,DIA,0
2001-10-05,90.5,91.5,89.56999969482422,53.08802032470703,8074100,DIA,0
2001-10-08,90.19999694824219,91.62000274658203,90.05000305175781,52.84329605102539,4774300,DIA,0
2001-10-09,90.98999786376953,91.0999984741211,90.1500015258789,52.802520751953125,2580500,DIA,0
2001-10-10,90.19999694824219,92.79000091552734,90.06999969482422,53.921112060546875,6862500,DIA,0
2001-10-11,93.0999984741211,94.55000305175781,92.94999694824219,54.882450103759766,14720200,DIA,0
2001-10-12,93.19999694824219,93.98999786376953,92,54.52707290649414,6561400,DIA,0
2001-10-15,93,93.69999694824219,92.47000122070312,54.515411376953125,3774700,DIA,0
2001-10-16,93.9000015258789,94.30000305175781,93.02999877929688,54.73685073852539,4445000,DIA,0
2001-10-17,95.0999984741211,95.18000030517578,92.01000213623047,53.60647964477539,14080700,DIA,0
2001-10-18,92.25,92.56999969482422,91.44999694824219,53.59489059448242,2821400,DIA,0
2001-10-19,91.6500015258789,92.3499984741211,90.8499984741211,53.600162506103516,3465800,DIA,0
2001-10-22,91.9000015258789,94.1500015258789,91.69999694824219,54.85411071777344,3788200,DIA,0
2001-10-23,94.4000015258789,94.54000091552734,92.80000305175781,54.59163284301758,3764900,DIA,0
2001-10-24,93.6500015258789,94,92.8499984741211,54.504127502441406,2824200,DIA,0
2001-10-25,92.5,94.98999786376953,91.73999786376953,55.39653015136719,3775300,DIA,0
2001-10-26,94.43000030517578,96.0999984741211,94.25,55.548152923583984,3639300,DIA,0
2001-10-29,95.05000305175781,95.51000213623047,92.05000305175781,54.276649475097656,3040800,DIA,0
2001-10-30,92.0999984741211,92.1500015258789,90.68000030517578,53.16273498535156,4090800,DIA,0
2001-10-31,91.91999816894531,92.43000030517578,90.5999984741211,52.88859176635742,4741700,DIA,0
2001-11-01,91.1500015258789,92.98999786376953,90.1500015258789,53.95009994506836,3984800,DIA,0
2001-11-02,92.5,93.56999969482422,92.12000274658203,54.4808235168457,2647400,DIA,0
2001-11-05,94.25,94.87000274658203,94.0999984741211,55.11655807495117,2273500,DIA,0
2001-11-06,94.25,96.1500015258789,93.8499984741211,56.07893753051758,3113200,DIA,0
2001-11-07,95.37999725341797,96.5999984741211,95.26000213623047,55.84563446044922,2955300,DIA,0
2001-11-08,96.30000305175781,97.4000015258789,95.66000366210938,56.12557601928711,3953300,DIA,0
2001-11-09,95.7699966430664,96.5,95.27999877929688,56.17220687866211,2739100,DIA,0
