scenario,date,split,componentVariant,weatherResolutionAction,weatherResolutionScale,position,indexFraction,ungReturnPct,indexReturnPct,grossReturnPct,tradingCostPct,returnPct
current replay from positions,2024-02-12,train,winter-alpha,no-reversion,1,0,1,-5.7143,-0.1143,-0.1143,0.0061,-0.1204
current replay from positions,2024-02-13,train,winter-alpha,adverse-shrunk,0.45,0.1125,0.8875,-4.0198,-1.4401,-1.7303,0.0036,-1.7339
current replay from positions,2024-02-14,train,winter-alpha,no-reversion,1,0,1,-4.0593,0.9824,0.9824,0.0036,0.9788
current replay from positions,2024-02-15,train,winter-alpha,adverse-shrunk,0.45,0.1125,0.8875,-0.5373,0.6006,0.4726,0.0036,0.469
current replay from positions,2024-02-16,train,winter-alpha,no-reversion,1,0,1,1.2154,-0.5915,-0.5915,0.0036,-0.5951
current replay from positions,2024-02-20,validation,summer-alpha,,1,0,1,-2.051,-0.5904,-0.5904,0,-0.5904
current replay from positions,2024-02-21,validation,summer-alpha,,1,0,1,12.5,-0.0024,-0.0024,0,-0.0024
current replay from positions,2024-02-22,train,winter-alpha,confirm-scaled,1.0823,-0.5625,0.4375,-2.0457,2.272,2.1447,0.018,2.1267
current replay from positions,2024-02-23,train,winter-alpha,missing-kept,1,-0.5625,0.4375,-6.5725,-0.025,3.6861,0,3.6861
current replay from positions,2024-02-26,train,winter-alpha,confirm-scaled,1.25,-0.5625,0.4375,2.6956,-0.3008,-1.6479,0,-1.6479
current replay from positions,2024-02-27,train,winter-alpha,confirm-scaled,1.25,-0.5625,0.4375,3.5211,0.1947,-1.8954,0,-1.8954
current replay from positions,2024-02-28,train,winter-alpha,no-reversion,1,0,1,3.4632,-0.2313,-0.2313,0.018,-0.2493
current replay from positions,2024-02-29,train,winter-alpha,missing-kept,1,-0.5625,0.4375,-1.1357,0.4632,0.8415,0.018,0.8235
current replay from positions,2024-03-01,train,winter-alpha,confirm-scaled,1.25,-0.3125,0.6875,-0.7255,1.0798,0.9691,0.008,0.9611
current replay from positions,2024-03-04,train,winter-alpha,confirm-scaled,1.25,-0.3125,0.6875,5.3593,-0.1735,-1.7941,0,-1.7941
