scenario,date,split,componentVariant,sourceAction,optimizedLiveAction,optimizedLiveScale,position,indexFraction,ungReturnPct,indexReturnPct,grossReturnPct,tradingCostPct,returnPct,equity,equityPct
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-08-25,holdout,summer-alpha,,,1,0,1,-0.0741,-0.3971,-0.3971,0,-0.3971,660421.26,560.4213
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-08-26,holdout,summer-alpha,,,1,0,1,0.7789,0.4031,0.4031,0,0.4031,663083.42,563.0834
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-08-27,holdout,summer-alpha,,,1,0,1,5.5208,0.2123,0.2123,0,0.2123,664491.14,564.4911
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-08-28,holdout,summer-alpha,,,1,0,1,2.6857,0.408,0.408,0,0.408,667202.27,567.2023
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-08-29,holdout,summer-alpha,,,1,0,1,1.8003,-0.6945,-0.6945,0,-0.6945,662568.55,562.5685
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-02,holdout,summer-alpha,,,1,0,1,0.4004,-0.7564,-0.7564,0,-0.7564,657556.88,557.5569
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-03,holdout,summer-alpha,,,1,0,1,1.8278,0.5619,0.5619,0,0.5619,661251.69,561.2517
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-04,holdout,summer-alpha,,,1,0,1,0.3264,0.8425,0.8425,0,0.8425,666822.74,566.8227
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-05,holdout,summer-alpha,,,1,0,1,-0.8458,-0.1882,-0.1882,0,-0.1882,665567.78,565.5678
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-08,holdout,summer-alpha,,,1,0.35,0.65,1.3779,0.3024,0.6788,0.0112,0.6676,670011.11,570.0111
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-09,holdout,summer-alpha,,,1,0.35,0.65,0.8738,0.2541,0.471,0,0.471,673166.86,573.1669
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-10,holdout,summer-alpha,,,1,0.35,0.65,-2.8232,0.2373,-0.8339,0,-0.8339,667553.32,567.5533
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-11,holdout,summer-alpha,,,1,0,1,-3.1363,0.7695,0.7695,0.0112,0.7583,672615.38,572.6154
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-12,holdout,summer-alpha,,,1,0,1,0.2386,0.0693,0.0693,0,0.0693,673081.5,573.0815
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-15,holdout,summer-alpha,,,1,0,1,3.4682,0.5908,0.5908,0,0.5908,677058.07,577.0581
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-16,holdout,summer-alpha,,,1,0,1,1.9717,-0.1234,-0.1234,0,-0.1234,676222.58,576.2226
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-17,holdout,summer-alpha,none,none,1,-0.5,0.5,-0.0967,-0.1325,-0.0179,0.016,-0.0339,675993.34,575.9933
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-18,holdout,summer-alpha,none,none,1,-0.5,0.5,-5.1935,0.5598,2.8767,0,2.8767,695439.64,595.4396
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-19,holdout,summer-alpha,,,1,0,1,-1.7353,0.5094,0.5094,0.016,0.4934,698870.94,598.8709
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-22,holdout,summer-alpha,,,1,0,1,-2.8393,0.5042,0.5042,0,0.5042,702394.64,602.3946
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-23,holdout,summer-alpha,,,1,0.35,0.65,1.675,-0.5521,0.2274,0.0112,0.2162,703913.22,603.9132
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-24,holdout,summer-alpha,,,1,0.35,0.65,0.1753,-0.3367,-0.1575,0,-0.1575,702804.56,602.8046
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-25,holdout,summer-alpha,,,1,0.35,0.65,1.6095,-0.4683,0.2589,0,0.2589,704624.12,604.6241
