candidateId,rank,eligible,trainValidationScore,trainReturnPct,trainVsNonLivePct,trainVsCurrentLivePct,trainSharpe,trainMaxDrawdownPct,validationReturnPct,validationVsNonLivePct,validationVsCurrentLivePct,validationSharpe,validationMaxDrawdownPct,holdoutReturnPct,holdoutVsNonLivePct,holdoutVsCurrentLivePct,holdoutSharpe,holdoutMaxDrawdownPct,allReturnPct,allVsNonLivePct,allVsCurrentLivePct,allSharpe,allMaxDrawdownPct,sameBase,sameDivisor,sameMax,adverseBase,adverseDivisor,adverseMin,adverseMax,adverseDropThresholdF,standaloneMode,neutralScale,missingScale,actionCounts
sb0.75-sd10-sx1.125-ab0.8-ad8-an0-ax0.9-dropinf-stkeep-base-n0.85,5167,true,19.0265,194.78,16.04,8.49,1.69,-15.86,67.98,0.63,-2.77,2.56,-9.57,97.13,-5.44,-2.77,2.34,-16.73,876.16,31.19,-1.04,2.01,-15.86,0.75,10,1.125,0.8,8,0,0.9,Infinity,keep-base,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.75-sd10-sx1.25-ab0.9-ad12-an0.25-ax0.75-dropinf-stdrop-n0.85,5168,true,19.0254,187.88,9.14,1.59,1.65,-15.86,69.99,2.64,-0.76,2.62,-9.57,99.35,-3.22,-0.55,2.37,-16.72,875.55,30.58,-1.65,2,-15.86,0.75,10,1.25,0.9,12,0.25,0.75,Infinity,drop,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-dropped:10
sb0.85-sd10-sx1.125-ab0.9-ad12-an0.45-ax0.75-dropinf-stdrop-n0.85,5169,true,19.0156,187.22,8.48,0.93,1.65,-15.86,70.15,2.8,-0.6,2.63,-9.57,100.38,-2.19,0.48,2.39,-16.72,879.27,34.3,2.07,2.01,-15.86,0.85,10,1.125,0.9,12,0.45,0.75,Infinity,drop,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-dropped:10
sb0.75-sd8-sx1.125-ab0.9-ad8-an0.45-ax0.75-drop6-stkeep-base-n0.85,5170,true,19.0131,193.8,15.06,7.51,1.68,-15.86,68.26,0.91,-2.49,2.57,-9.57,97.79,-4.78,-2.11,2.35,-16.73,877.73,32.76,0.53,2.01,-15.86,0.75,8,1.125,0.9,8,0.45,0.75,6,keep-base,0.85,1,adverse-dropped:11|adverse-shrunk:33|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.75-sd10-sx1.125-ab0.9-ad12-an0.25-ax0.9-dropinf-stdrop-n0.85,5171,true,19.013,188.57,9.83,2.28,1.65,-15.86,69.76,2.41,-0.99,2.62,-9.57,99.77,-2.8,-0.13,2.38,-16.72,878.6,33.63,1.4,2.01,-15.86,0.75,10,1.125,0.9,12,0.25,0.9,Infinity,drop,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-dropped:10
sb0.75-sd8-sx1.375-ab0.8-ad10-an0.45-ax0.75-dropinf-stdrop-n0.85,5172,true,19.0103,184.92,6.18,-1.37,1.63,-15.86,70.88,3.53,0.13,2.64,-9.57,98.98,-3.59,-0.92,2.37,-16.72,868.8,23.83,-8.4,2,-15.86,0.75,8,1.375,0.8,10,0.45,0.75,Infinity,drop,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-dropped:10
sb0.75-sd8-sx1.125-ab0.8-ad12-an0.45-ax0.75-drop6-stkeep-base-n0.85,5173,true,19.0054,193.79,15.05,7.5,1.68,-15.86,68.26,0.91,-2.49,2.57,-9.57,97.59,-4.98,-2.31,2.35,-16.73,876.76,31.79,-0.44,2.01,-15.86,0.75,8,1.125,0.8,12,0.45,0.75,6,keep-base,0.85,1,adverse-dropped:11|adverse-shrunk:33|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.75-sd8-sx1.375-ab0.9-ad8-an0.25-ax0.75-dropinf-stkeep-base-n0.85,5174,true,19.0037,191,12.26,4.71,1.66,-15.86,69.1,1.75,-1.65,2.59,-9.57,98.14,-4.43,-1.76,2.35,-16.73,875,30.03,-2.2,2,-15.86,0.75,8,1.375,0.9,8,0.25,0.75,Infinity,keep-base,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.75-sd8-sx1.375-ab0.9-ad10-an0.25-ax0.75-dropinf-stkeep-base-n0.85,5175,true,19.0037,191,12.26,4.71,1.66,-15.86,69.1,1.75,-1.65,2.59,-9.57,98.35,-4.22,-1.55,2.36,-16.73,876.07,31.1,-1.13,2,-15.86,0.75,8,1.375,0.9,10,0.25,0.75,Infinity,keep-base,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.75-sd8-sx1.25-ab0.9-ad8-an0.25-ax0.9-dropinf-stkeep-base-n0.85,5176,true,19.001,191.5,12.76,5.21,1.67,-15.86,68.97,1.62,-1.78,2.58,-9.57,98.45,-4.12,-1.45,2.36,-16.73,877.43,32.46,0.23,2,-15.86,0.75,8,1.25,0.9,8,0.25,0.9,Infinity,keep-base,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
